Job Title,Company Name,Recruiter Name,Location,Job Description,Keyword,URL
AI Data Annotator | Remote,N/A,Sankalp Chhabra,N/A,"About the job Position: Inbox Optimization Expert Type: Hourly contract Compensation Location: Remote Commitment: 10–40 hours/week Role Responsibilities Review and assess email inbox structures, labeling systems, and categorization workflows. Provide structured and actionable feedback to improve email organization and user experience. Identify communication patterns to support AI understanding and prioritization of emails. Contribute to the development of high-quality datasets and evaluation frameworks. Collaborate with cross-functional teams to refine AI-driven workflow outputs. Maintain high accuracy and attention to detail in all evaluations and annotations. Support AI training initiatives focused on communication and inbox optimization. Requirements Strong analytical skills with high attention to detail. Familiarity with email organization best practices including labels, filters, and folder systems. Ability to provide clear, structured written feedback on workflows. Experience wor",AI automation,https://www.linkedin.com/jobs/view/4397235283/
Applied AI Engineer (Automation),N/A,N/A,N/A,"About the job About Fusemachines Fusemachines is a leading AI strategy, talent, and education services provider. Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, the United States, Canada, and the Dominican Republic) and more than 450 full-time employees, Fusemachines brings global AI expertise to transform companies worldwide. Founded in 2013, Fusemachines is a global provider of enterprise AI products and services, on a mission to democratize AI. Leveraging proprietary AI Studio and AI Engines, the company helps drive the clients’ AI Enterprise Transformation, regardless of where they are in their Digital AI journeys. With offices in North America, Asia, and Latin America, Fusemachines provides a suite of enterprise AI offerings and specialty services that allow organizations of any size to implement and scale AI. Fusemachines serves companies in industries s",AI automation,https://www.linkedin.com/jobs/view/4390339232/
AI Automation Specialist,N/A,N/A,N/A,"About the job Employment Type: Flexible (Fractional or Full Time) Location: Remote About Petra Brands: Petra Brands is a dynamic and innovative consumer products company that manages a diverse portfolio of brands, including House of Party, Fomin Soap, Golden Era Body, and Soul Mama Stationery. We specialize in creating unique and memorable consumer packaged goods (CPG) in the party, craft, beauty, personal care, and lifestyle sectors. Our mission is to deliver products that spark creativity, celebration, and connection — crafting experiences that evoke emotion, memories, and a sense of place through captivating brand identities and thoughtful packaging. The Role: We're looking for someone who lives and breathes AI. You'll help us use AI tools to automate workflows, speed up operations, and make our businesses run smarter. This isn't a research role, it's about getting things done. You'll work across our group of agency and retail businesses to find opportunities where AI can save time,",AI automation,https://www.linkedin.com/jobs/view/4395334252/
Junior AI Engineer,N/A,N/A,N/A,"About the job About Contour Contour Software has grown from a dozen people to over 2,000 staff across 3 cities, in less than 14 years. As a subsidiary of Constellation Software Inc., we are proud to be part of a global enterprise software conglomerate that has grown to become one of the top 10 software companies in the world, with employees and customers in 100+ countries. With a broad-based and ever-growing portfolio of market-leading, vertical-market enterprise solutions covering more than 100 industry domains in predominantly mature markets, CSI's recipe creates the perfect environment for professionals to build fulfilling, long-term careers. What started as an R&D & Accounting back-office, has progressed into a full-service Global Centre serving all functions and departments, at the divisional as well as operating group/corporate level. Today Contour employees, located in Karachi, Lahore & Islamabad, are serving CSI divisions located in time zones spanning the globe, from Sydney to",AI automation,https://www.linkedin.com/jobs/view/4399471269/
Ai Prompt Writer – Remote,N/A,Shiv Pratap Singh Dangi,N/A,"About the job Role Overview Collaborating with a leading AI lab to contract experienced professionals for an AI model evaluation project. Contractors will assess the quality, accuracy, and safety of AI-generated responses across specialized domains such as finance, law, medicine, and accounting. The project offers an opportunity to directly improve the reliability of AI systems in high-stakes contexts where inaccurate information carries serious risk. Key Responsibilities Write realistic prompts that reflect how professionals and consumers seek domain-specific guidance Evaluate AI-generated responses for factual accuracy, regulatory or clinical correctness, and practical usefulness Identify fabricated claims, incorrect references, or misleading reasoning across model outputs Score and rank multiple model responses using structured rubrics across dimensions Provide written justifications with specific evidence for each evaluation Ideal Qualifications Master’s degree or higher in a relev",AI automation,https://www.linkedin.com/jobs/view/4385444590/
AI Program Manager,N/A,Maha Siddiqui,N/A,"About the job AI Program Manager CoPilot Innovations | Remote | Full-Time | 4 to 6 Years Experience About CoPilot Innovations CoPilot Innovations helps businesses unlock real outcomes using AI through rapid, hands-on implementation. We work with operators, founders, and teams to design, build, and ship AI solutions that drive measurable impact. We are a small, high-output team. Everyone here builds things, not decks. The Role We are hiring a Program Manager - not a task manager or coordinator. You will own client engagements end-to-end across multiple accounts, translating ambiguous business needs into structured AI solutions and driving them through to measurable results. You will work hands-on with AI tools and prototypes, collaborate closely with engineers, and act as a strategic partner to clients - not just a point of contact. What You Will Own Client success metrics: ROI, adoption, efficiency gains Translating vague briefs into scoped, actionable AI solutions Shaping solutions wi",AI automation,https://www.linkedin.com/jobs/view/4400603796/
Agentic AI/ML Engineer,N/A,Ravale Naeem,N/A,"About the job We are looking for a senior, hands-on Agentic AI Solution (AI/ML) Engineer who can consult, design, and finalize the end-to-end solution architecture and scope of work for an enterprise-grade Agentic AI platform. Location: DHA Phase 4 Lahore, Pakistan Timings: 5pm-2am PKT (Fulltime, onsite) This role is NOT about coding everything. It is about: Asking the right questions Defining what should be built vs what should not Designing a secure, scalable, cloud-native agentic architecture Producing clear solution artifacts that engineering teams can execute on What You Will Own (Scope of Work) Business Discovery & Problem Framing Work with stakeholders to: Understand current processes, pain points, and automation opportunities Identify where agentic AI truly adds value vs simple automation Convert ambiguous ideas into: Clear use cases Agent responsibilities Success metrics (accuracy, cost, latency, risk) Deliverables: Problem statements Use-case prioritization Agent responsibili",AI automation,https://www.linkedin.com/jobs/view/4399879940/
Machine Learning Engineer | $80/hr Remote,N/A,N/A,N/A,"About the job Position: Applied AI Engineer Type: Hourly contract Compensation: $30-$80/hr Location: Remote Commitment: 10–40 hours/week Role Responsibilities Design, develop, and deploy machine learning models to address real-world business problems. Collaborate with cross-functional teams to identify opportunities for AI integration and innovation. Preprocess, analyze, and interpret complex datasets using Python and related data tools. Develop APIs and data pipelines to integrate machine learning models into production systems. Optimize models for scalability, performance, and reliability in operational environments. Document technical workflows, methodologies, and results clearly for internal teams. Communicate technical concepts and solutions effectively to both technical and non-technical stakeholders. Requirements Strong proficiency in Python for data processing, automation, and machine learning development. Hands-on experience with machine learning frameworks and model developme",AI automation,https://www.linkedin.com/jobs/view/4384995824/
Senior AI Agent Engineer,N/A,N/A,N/A,"About the job Beam AI builds self-learning AI agents and an organisational operating system where intelligence grows through autonomous discovery. We help enterprises evolve from AI-curious to AI-native with automation that delivers results today and learns to improve itself over time. Join us in shaping a future where AI continuously discovers, adapts, and makes work more meaningful. To learn more, visit https://beam.ai/. About The Team Beam's AI Agent Deployment team sits at the intersection of AI, product, and client impact. We partner closely with customers to understand their workflows, design intelligent automation solutions, and ensure our agents deliver real business value. Our work spans workflow design, agent configuration, technical integration, and ongoing optimization. We collaborate with engineering, ML, and product teams to translate abstract problems into scalable, agentic systems that work in the real world. This is a high-context, high-ownership environment where Depl",AI automation,https://www.linkedin.com/jobs/view/4393545264/
Senior Data Scientist / Machine Learning Engineer,N/A,N/A,N/A,"About the job Astro Sirens is an IT staffing agency based in Austin, Texas. We connect talented professionals from around the world with U.S. companies, offering exciting opportunities to work on innovative projects for top clients. We are currently seeking a Senior Data Scientist / Machine Learning Engineer to help our clients design, build, and deploy scalable machine learning solutions that drive business value. This is a remote position, and we strongly encourage and give preference to candidates based in India and Pakistan who are eager to collaborate with U.S.-based teams. Responsibilities Design, develop, and deploy machine learning models for real-world production use cases Analyze large and complex datasets to extract insights that inform model development and optimization Build end-to-end ML pipelines, including data preprocessing, feature engineering, model training, evaluation, and deployment Collaborate with data engineers, software engineers, product managers, and busines",AI automation,https://www.linkedin.com/jobs/view/4398001165/
